Al;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;N;Fv
1;1;1;1;1;1;1;1;1;1;1;1;-1
-1;1;1;1;1;1;1;1;1;1;1;1;0
0;1;-1;-1;1;1;-1;1;1;1;-1;1;0
0;-1;0;0;-1;-1;0;-1;1;1;0;1;0
0;0;0;0;0;0;0;0;1;-1;0;-1;0
0;0;0;0;0;0;0;0;0;-1;0;1;0
0;-1;0;0;1;-1;0;1;0;0;0;0;0
0;0;0;0;1;0;0;-1;0;0;0;0;0
0;1;0;0;0;-1;0;0;0;0;0;0;0
0;0;1;-1;0;0;-1;0;0;0;1;0;0
0;0;1;0;0;0;0;0;0;0;-1;0;0
0;0;0;1;0;0;-1;0;0;0;0;0;0
