Cultivars;Trait;N;Al;B;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Niveau de sensibilité;ID
CHI;inoc;3,21;26;30;7106;14;64;58704;2991;163;3723;6457;2312;63;Faible;CHI_inoc_Faible
ROM;inoc;3,82;17;32;9902;13;57;73987;3710;168;4901;8856;2649;92;Élevé;ROM_inoc_Élevé
ROM;inoc;3,89;43;32;9915;15;64;75371;3851;145;4929;8701;2600;98;Élevé;ROM_inoc_Élevé
ROM;inoc;3,33;13;33;10117;18;48;68589;3487;179;5211;8233;2419;90;Élevé;ROM_inoc_Élevé
ROM;inoc;3,9;56;35;9756;15;69;73367;3801;161;4963;8567;2687;90;Élevé;ROM_inoc_Élevé
VIV;inoc;3,32;9;30;10041;16;67;67210;3185;185;5380;7152;2654;79;Faible;VIV_inoc_Faible
VIV;inoc;4,16;9;28;9007;12;60;59933;2936;147;4051;6980;2564;75;Faible;VIV_inoc_Faible
VIV;inoc;3,9;9;31;9863;14;64;70436;3209;154;5003;7247;2884;81;Faible;VIV_inoc_Faible
VIV;inoc;4,09;9;32;10336;19;70;76190;3314;166;4670;7985;3064;90;Faible;VIV_inoc_Faible
HOC;inoc;3,62;21;29;7866;17;84;64886;2998;143;3827;7100;2326;82;Moyen;HOC_inoc_Moyen
HOC;inoc;3,8;10;33;8710;15;72;65038;3205;173;4159;7502;2379;85;Moyen;HOC_inoc_Moyen
HOC;inoc;3,44;10;29;8100;18;62;63991;2915;151;4012;6537;2207;79;Moyen;HOC_inoc_Moyen
HOC;inoc;3,64;13;29;7876;16;66;60009;2799;131;3790;6497;2285;73;Moyen;HOC_inoc_Moyen
EST;inoc;3,88;9;33;11823;17;82;66183;3678;167;5560;8143;2607;91;Moyen;EST_inoc_Moyen
EST;inoc;3,19;11;29;11378;18;71;56345;3373;166;4899;6653;2311;82;Moyen;EST_inoc_Moyen
EST;inoc;4,29;16;34;13268;14;81;70838;3871;175;4797;8767;2872;85;Moyen;EST_inoc_Moyen
EST;inoc;3,65;8;33;12056;16;68;62643;3478;164;5089;7266;2361;77;Moyen;EST_inoc_Moyen
BRG;inoc;4,34;30;46;11205;19;78;82160;3405;185;5978;8803;3131;98;Élevé;BRG_inoc_Élevé
BRG;inoc;4,4;19;40;10960;19;88;80685;3535;157;5951;8834;3323;103;Élevé;BRG_inoc_Élevé
BRG;inoc;4,1;60;40;10173;19;83;74474;3286;161;6143;8142;3103;95;Élevé;BRG_inoc_Élevé
BRG;inoc;4,06;53;38;10208;19;83;76317;3309;162;5616;8310;3121;93;Élevé;BRG_inoc_Élevé
LIG;inoc;4,29;14;34;11672;11;60;76130;3760;195;4169;9221;2648;76;Élevé;LIG_inoc_Élevé
LIG;inoc;4;9;38;10883;12;69;73836;3427;217;3732;8986;2625;80;Élevé;LIG_inoc_Élevé
LIG;inoc;3,61;123;36;10938;17;107;72795;3644;197;4331;8337;2483;77;Élevé;LIG_inoc_Élevé
LIG;inoc;4,01;76;38;11036;14;84;76552;3861;199;4440;9348;2614;75;Élevé;LIG_inoc_Élevé
